method,accuracy,precision,recall,f1,total_samples,positive_samples,negative_samples
combined,0.7333333333333333,0.7755102040816326,0.8444444444444444,0.8085106382978723,135,90,45
llm,0.3333333333333333,0.0,0.0,0.0,135,90,45
threshold,0.3333333333333333,0.0,0.0,0.0,135,90,45
